"","X","Fecha","Texto","code","index","Polaridad"
"11",10,"2021-11-17T22:50:07.000Z","@Lcgg13 @Kikalkala @ACives @Repsol Se marcó un buen chiste XD","{}",NA,""
"12",11,"2021-11-17T22:49:10.000Z","RT @laeuor: @Repsol Hola https://t.co/vXD8BgjAPF","{}",NA,""
"13",12,"2021-11-17T22:48:54.000Z","RT @ArtOfNe: @Repsol @NintendoES esto no es ilegal?","{}",NA,""
"14",13,"2021-11-17T22:46:00.000Z","RT @JaSantaolalla: ¿Qué es la superconductividad y cómo funciona? Hay muchos retos en la física y la ingeniería de hoy que las nuevas gener…","{}",NA,""
"15",14,"2021-11-17T22:43:29.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"16",15,"2021-11-17T22:37:55.000Z","RT @serpentinosa: @Repsol https://t.co/GaA2aIOxew","{}",NA,""
"17",16,"2021-11-17T22:33:17.000Z","RT @EnerkemQC: @EnerkemQC et ses partenaires, @SUEZ Recycling &amp; Recovery Espagne et @Repsol, sont fiers d’annoncer que le Fonds d’innovatio…","{}",NA,""
"18",17,"2021-11-17T22:32:28.000Z","@EnerkemQC et ses partenaires, @SUEZ Recycling &amp; Recovery Espagne et @Repsol, sont fiers d’annoncer que le Fonds d’innovation de la Commission européenne vient de sélectionner leur projet de valorisation des déchets Ecoplanta Molecular Solutions https://t.co/Hp3rBLY6WS https://t.co/n9HP5TJvVk","{}",NA,""
"19",18,"2021-11-17T22:22:29.000Z","RT @JaSantaolalla: ¿Qué es la superconductividad y cómo funciona? Hay muchos retos en la física y la ingeniería de hoy que las nuevas gener…","{}",NA,""
"20",19,"2021-11-17T22:19:31.000Z","RT @Enerkem: @Enerkem and its partners, @suez Recycling &amp; Recovery Spain and @Repsol, are proud to announce that their waste recovery proje…","{}",NA,""
"21",20,"2021-11-17T22:18:41.000Z","@Enerkem and its partners, @suez Recycling &amp; Recovery Spain and @Repsol, are proud to announce that their waste recovery project in El Morell, Ecoplanta Molecular Solutions, has been selected by the European Commission Innovation Fund https://t.co/69bbDr3ZnD
#molecularsolutions https://t.co/37hCOkBHtl","{}",NA,""
"22",21,"2021-11-17T22:16:58.000Z","RT @JaSantaolalla: ¿Qué es la superconductividad y cómo funciona? Hay muchos retos en la física y la ingeniería de hoy que las nuevas gener…","{}",NA,""
"23",22,"2021-11-17T22:16:49.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"24",23,"2021-11-17T22:13:10.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"25",24,"2021-11-17T22:11:43.000Z","RT @MarinaArnaldosO: De #residuos a #metanol, un vector clave energético y de productos de alto valor
 
⭐Proyectazo con sello @Agbar, @reps…","{}",NA,""
"26",25,"2021-11-17T21:50:42.000Z","RT @luisartolu: #JPMorgan (@jpmorgan) se refuerza en #Repsol (@Repsol) por encima del 5% del capital de la #petrolera https://t.co/KU6h6rOI…","{}",NA,""
"27",26,"2021-11-17T21:44:49.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"28",27,"2021-11-17T21:30:59.000Z","RT @luisartolu: #JPMorgan (@jpmorgan) se refuerza en #Repsol (@Repsol) por encima del 5% del capital de la #petrolera https://t.co/KU6h6rOI…","{}",NA,""
"29",28,"2021-11-17T21:27:49.000Z","RT @JaSantaolalla: ¿Qué es la superconductividad y cómo funciona? Hay muchos retos en la física y la ingeniería de hoy que las nuevas gener…","{}",NA,""
"30",29,"2021-11-17T21:22:58.000Z","#JPMorgan (@jpmorgan) se refuerza en #Repsol (@Repsol) por encima del 5% del capital de la #petrolera https://t.co/KU6h6rOIyQ a través de @valenciaplaza","{}",NA,""
"31",30,"2021-11-17T21:21:45.000Z","@Repsol E.S. Baños del Carmen en Málaga","{}",NA,""
"32",31,"2021-11-17T21:18:15.000Z","RT @JaSantaolalla: ¿Qué es la superconductividad y cómo funciona? Hay muchos retos en la física y la ingeniería de hoy que las nuevas gener…","{}",NA,""
"33",32,"2021-11-17T21:01:19.000Z","RT @yereysfc: Acabo de pagar una bombona a 20.30€. El mes pasado no llegó a 16€. Y así todo. BASTA YA! Es una puta vergüenza. ¿Hasta donde…","{}",NA,""
"34",33,"2021-11-17T20:51:31.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"35",34,"2021-11-17T20:50:40.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"36",35,"2021-11-17T20:42:53.000Z","RT @CEHEhosteleria: 🥇Premio a la Labor Formativa patrocinado por Philip Morris para @Repsol 
 
#PremiosHosteleria2021 https://t.co/IcTcTmw2…","{}",NA,""
"37",36,"2021-11-17T20:42:49.000Z","RT @CEHEhosteleria: 👏 Desde @Repsol agradecen el Premio a la Labor Formativa patrocinado por Philip Morris
 
#PremiosHosteleria2021 https:/…","{}",NA,""
"38",37,"2021-11-17T20:42:42.000Z","RT @CEHEhosteleria: Félix Orduña, Director Comercial de GLP @repsol recoge el premio a la labor formativa      #PremiosHosteleria2021 https…","{}",NA,""
"39",38,"2021-11-17T20:34:25.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"40",39,"2021-11-17T20:33:51.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"41",40,"2021-11-17T20:33:06.000Z","@Repsol Si tengo alguna duda o necesidad no dudo en preguntar. Creo que en el caso del trabajador, no tiene muy claras cuáles son las funciones en su puesto de trabajo, parece ser. Entiendo que dentro del precio del gasoleo entra el trabajo de esa persona, no el mío. Muchas gracias!","{}",NA,""
"42",41,"2021-11-17T20:33:02.000Z","RT @Repsol: ¿Sabes que puedes pagar la zona de estacionamiento regulado con @MyWaylet? ¡Es la única app que te devuelve dinero la hacerlo!…","{}",NA,""
"43",42,"2021-11-17T20:30:32.000Z","@Repsol Correcto. A la estación que he ido no hay ni un solo cartel donde ponga que yo me tengo que suministrar el gasóleo. El trabajador estaba en la tienda, en manga corta (como es lógico) y mirándome esperando. En ningún momento ha intentado ayudarme.","{}",NA,""
"44",43,"2021-11-17T20:28:12.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"45",44,"2021-11-17T20:07:49.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"46",45,"2021-11-17T19:38:33.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"47",46,"2021-11-17T19:31:29.000Z","@necrophanto @JaSantaolalla @el_pais @Repsol Me pasare por ahi a ver que se cuece gracias","{}",NA,""
"48",47,"2021-11-17T19:31:20.000Z","RT @esXrebellion: El extractivismo de empresas occidentales como @Repsol, @iberdrola, @DrummondLtdCo  o @TotalEnergies  están acabando con…","{}",NA,""
"49",48,"2021-11-17T19:24:56.000Z","RT @MaribelRU4: @Alvisepf @sanchezcastejon @Repsol @bbva @iberdrola Gobierno comunista tercermundista de incapacitados con despachos,sueldo…","{}",NA,""
"50",49,"2021-11-17T19:24:45.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"51",50,"2021-11-17T19:23:15.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"52",51,"2021-11-17T19:21:17.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"53",52,"2021-11-17T19:08:38.000Z","RT @esXrebellion: El extractivismo de empresas occidentales como @Repsol, @iberdrola, @DrummondLtdCo  o @TotalEnergies  están acabando con…","{}",NA,""
"54",53,"2021-11-17T19:07:49.000Z","El extractivismo de empresas occidentales como @Repsol, @iberdrola, @DrummondLtdCo  o @TotalEnergies  están acabando con los recursos naturales que pertenecen a todos los habitantes de este planeta. https://t.co/dUAKgbtLW5","{}",NA,""
"55",54,"2021-11-17T18:57:23.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"56",55,"2021-11-17T18:43:13.000Z","RT @78laurablanco: ☀️ Almacenamos energía solar más allá de @pablocasado_ . Lo explica @PedroFresco en #ElProgramaDeLaEnergía en @CAPITALRA…","{}",NA,""
"57",56,"2021-11-17T18:38:27.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"58",57,"2021-11-17T18:37:09.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"59",58,"2021-11-17T18:36:19.000Z","RT @UniCienciaSomos: Esteban: el #PDI de la @urjc sería mas creíble si rechazara públicamente como haces tú las cátedras y acuerdos con emp…","{}",NA,""
"60",59,"2021-11-17T18:36:14.000Z","@GobAragon @JLambanM @pepesoro @iurkullu @pablocasado_ @sanchezcastejon @Santi_ABASCAL @ierrejon @IdiazAyuso @ximopuig @RevillaMiguelA @Endesa @iberdrola @Naturgy @Repsol @EnergiaEDP @HolaluzEng @aldroenergia https://t.co/92dUNdcXTI","{}",NA,""
"61",60,"2021-11-17T18:36:04.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"62",61,"2021-11-17T18:34:37.000Z","RT @AlbertoGil1982: @Alvisepf @sanchezcastejon @Repsol @bbva @iberdrola Lo triste es que esas imputaciones no acabarán donde deben sino arc…","{}",NA,""
"63",62,"2021-11-17T18:34:31.000Z","RT @MaribelRU4: @Alvisepf @sanchezcastejon @Repsol @bbva @iberdrola Gobierno comunista tercermundista de incapacitados con despachos,sueldo…","{}",NA,""
"64",63,"2021-11-17T18:34:25.000Z","RT @gramolamom: @Alvisepf @sanchezcastejon @Repsol @bbva @iberdrola Estamos de cojones. Todos pringaos. Desde el chulo de la Moncloa hasta…","{}",NA,""
"65",64,"2021-11-17T18:34:18.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"66",65,"2021-11-17T18:34:06.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"67",66,"2021-11-17T18:29:49.000Z","RT @78laurablanco: ☀️ Almacenamos energía solar más allá de @pablocasado_ . Lo explica @PedroFresco en #ElProgramaDeLaEnergía en @CAPITALRA…","{}",NA,""
"68",67,"2021-11-17T18:27:58.000Z","RT @78laurablanco: ☀️ Almacenamos energía solar más allá de @pablocasado_ . Lo explica @PedroFresco en #ElProgramaDeLaEnergía en @CAPITALRA…","{}",NA,""
"69",68,"2021-11-17T18:27:39.000Z","RT @Repsol: ¿Sabes cuándo es momento de cambiar los discos de freno? ¡Atento porque te lo contamos! 🏍 Descubre el mejor lubricante para tu…","{}",NA,""
"70",69,"2021-11-17T18:15:24.000Z","RT @78laurablanco: ☀️ Almacenamos energía solar más allá de @pablocasado_ . Lo explica @PedroFresco en #ElProgramaDeLaEnergía en @CAPITALRA…","{}",NA,""
"71",70,"2021-11-17T18:13:39.000Z","☀️ Almacenamos energía solar más allá de @pablocasado_ . Lo explica @PedroFresco en #ElProgramaDeLaEnergía en @CAPITALRADIOB 

Y Brufau desde @Repsol insiste: para hablar de contaminación 🚗 eléctrico vs combustión hay que analizar toda la cadena 

🎧 https://t.co/rOr5gXGfZO https://t.co/kDu5cq6B0L","{}",NA,""
"72",71,"2021-11-17T18:08:19.000Z","@Repsol Nada, al final después de más de 40 intentos me llamaron ellos y ya está contratado, pero muy mal eso eh, casi me voy a otra compañía, quiero un regalo por mi paciencia ✌️","{}",NA,""
"73",72,"2021-11-17T18:06:13.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"74",73,"2021-11-17T18:03:05.000Z",".@Repsol crea su propia isla en #AnimalCrossing para concienciar sobre la #sostenibilidad
https://t.co/BOftpkmOFI","{}",NA,""
"75",74,"2021-11-17T17:58:13.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"76",75,"2021-11-17T17:51:52.000Z","RT @SomosFPDual_: ¡Qué inspiradoras las palabras de @slorenzom, quien nos explica como @Repsol apuesta por la #FPDual !🙌
💡 Recuerda que la…","{}",NA,""
"77",76,"2021-11-17T17:43:17.000Z","Es vergonzoso. Ir a una gasolinera @Repsol y que el trabajador no salga ni a echarte la gasolina. Entiendo que dentro de la tienda se está más calentito… Es increíble. Gracias por el precio y servicio que prestáis 👍","{}",NA,""
"78",77,"2021-11-17T17:38:09.000Z","RT @La_SER: #somosFUTURO | Cómo conseguir que la electricidad llegue a nuestras casas y ciudades sin perderse por el camino: el material qu…","{}",NA,""
"79",78,"2021-11-17T17:35:21.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"80",79,"2021-11-17T17:34:27.000Z","RT @FuelsEurope: #LowCarbonNews: @Repsol &amp; @Iberia_en have made the first flight (Madrid–Bilbao route) using biofuel produced from waste in…","{}",NA,""
"81",80,"2021-11-17T17:31:58.000Z","RT @SomosFPDual_: ¡Qué inspiradoras las palabras de @slorenzom, quien nos explica como @Repsol apuesta por la #FPDual !🙌
💡 Recuerda que la…","{}",NA,""
"82",81,"2021-11-17T17:19:39.000Z","@Repsol vaya forma de aumentar vuestros clientes...llamando toda la tarde a nuevas contrataciones para info y nada...","{}",NA,""
"83",82,"2021-11-17T17:15:39.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"84",83,"2021-11-17T17:13:54.000Z","¡Qué inspiradoras las palabras de @slorenzom, quien nos explica como @Repsol apuesta por la #FPDual !🙌
💡 Recuerda que la #FPDual es una opción con un 70% de inserción laboral y uno de los mejores caminos formativos.🤩
#DíaDelEstudiante #SéDual #SomosFPDual https://t.co/QfXr9ORfDI","{}",NA,""
"85",84,"2021-11-17T17:12:19.000Z","@alfredgarcia es el aliado feminista como el @repsol al movimiento ecologista sostenible.
#LOS40MusicAwards https://t.co/9ZPmnb08Md","{}",NA,""
"86",85,"2021-11-17T17:04:14.000Z","RT @Repsol: ¿Sabes cuándo es momento de cambiar los discos de freno? ¡Atento porque te lo contamos! 🏍 Descubre el mejor lubricante para tu…","{}",NA,""
"87",86,"2021-11-17T17:00:10.000Z","RT @La_SER: #somosFUTURO | Cómo conseguir que la electricidad llegue a nuestras casas y ciudades sin perderse por el camino: el material qu…","{}",NA,""
"88",87,"2021-11-17T17:00:08.000Z","RT @HectorFlanker: ⁦@iberdrola⁩ ⁦@ClaudioXGG⁩ ⁦@FelipeCalderon⁩ ⁦@kimberlyclarkAR⁩ @Repsol⁩ ""A robar a otra parte"": AMLO manda un fuerte me…","{}",NA,""
"89",88,"2021-11-17T17:00:02.000Z","#somosFUTURO | Cómo conseguir que la electricidad llegue a nuestras casas y ciudades sin perderse por el camino: el material que ahorrará millones https://t.co/V9N3hkH4Rg

Patrocinado por @Repsol https://t.co/erMH3lLRLs","{}",NA,""
"90",89,"2021-11-17T16:56:30.000Z","RT @JaSantaolalla: ¿Qué es la superconductividad y cómo funciona? Hay muchos retos en la física y la ingeniería de hoy que las nuevas gener…","{}",NA,""
"91",90,"2021-11-17T16:55:03.000Z","⁦@iberdrola⁩ ⁦@ClaudioXGG⁩ ⁦@FelipeCalderon⁩ ⁦@kimberlyclarkAR⁩ @Repsol⁩ ""A robar a otra parte"": AMLO manda un fuerte mensaje a las transnacionales energéticas https://t.co/uXIxbXaMPR","{}",NA,""
"92",91,"2021-11-17T16:53:06.000Z","RT @JaSantaolalla: ¿Qué es la superconductividad y cómo funciona? Hay muchos retos en la física y la ingeniería de hoy que las nuevas gener…","{}",NA,""
"93",92,"2021-11-17T16:51:23.000Z","@Repsol tranquilos que el golpe avisa","{}",NA,""
"94",93,"2021-11-17T16:50:21.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{}",NA,""
"95",94,"2021-11-17T16:45:00.000Z","#Educaenergia 
Conoce el mercado del Gas en: Mercado ibérico del gas @MibgasInfo
Inscripciones: https://t.co/ta6ZClbWJZ
@mitecogob  @CNMC_ES @Naturgy @axpo_es
@GasINDUSTRIALes @AcogenOficial @AEGEoficial @Alpiq @Cepsa @ENGIEgroup @enagas @sedigas
@Endesa @iberdrola @Repsol https://t.co/ehMzK8YQ3j","{}",NA,""
"96",95,"2021-11-17T16:44:01.000Z","RT @JaSantaolalla: ¿Qué es la superconductividad y cómo funciona? Hay muchos retos en la física y la ingeniería de hoy que las nuevas gener…","{}",NA,""
"97",96,"2021-11-17T16:34:02.000Z","@Repsol Antes de las 14h","{}",NA,""
"98",97,"2021-11-17T16:29:07.000Z","Senyors de @Repsol, deixin de trucar-me a casa i molestar, no m'interessen les seves ofertes d'energia, a més no entenc el que diuen a Catalunya es parla català, m'han trucat 3 cops, el que si faré és deixar de posar benzina a les seves benzineres pel seu comportament assetjador","{}",NA,""
"99",98,"2021-11-17T16:11:32.000Z","RT @Repsol: ¿Sabes cuándo es momento de cambiar los discos de freno? ¡Atento porque te lo contamos! 🏍 Descubre el mejor lubricante para tu…","{}",NA,""
"100",99,"2021-11-17T16:04:13.000Z","RT @JaSantaolalla: ¿Qué es la superconductividad y cómo funciona? Hay muchos retos en la física y la ingeniería de hoy que las nuevas gener…","{}",NA,""
"101",0,"2021-11-19T01:58:26.000Z","RT @fuelcellsworks: Repsol Signs @BCG Consulting to Invest EUR 2.5 Billion in #Hydrogen--@Repsol has struck another coup in the national ra…","{}",NA,""
"102",1,"2021-11-19T01:43:14.000Z","RT @GreenwashEarth: Congrats on your @CampaignBig #CampaignBigAwards win McCann... how about we talk about @Repsol &amp; @exxonmobil ?? https:/…","{}",NA,""
"103",2,"2021-11-19T01:32:54.000Z","@Kicillofok @pabloduggan che boludo de lo q pagaste por @Repsol y arreglo del Club de París , de eso no hablan reverendos hijos de puta","{}",NA,""
"104",3,"2021-11-18T23:37:01.000Z","RT @GreenwashEarth: Congrats on your @CampaignBig #CampaignBigAwards win McCann... how about we talk about @Repsol &amp; @exxonmobil ?? https:/…","{}",NA,""
"105",4,"2021-11-18T23:12:31.000Z","RT @GreenwashEarth: Congrats on your @CampaignBig #CampaignBigAwards win McCann... how about we talk about @Repsol &amp; @exxonmobil ?? https:/…","{}",NA,""
"106",5,"2021-11-18T23:04:13.000Z","RT @GreenwashEarth: Congrats on your @CampaignBig #CampaignBigAwards win McCann... how about we talk about @Repsol &amp; @exxonmobil ?? https:/…","{}",NA,""
"107",6,"2021-11-18T23:03:25.000Z","Congrats on your @CampaignBig #CampaignBigAwards win McCann... how about we talk about @Repsol &amp; @exxonmobil ?? https://t.co/uUIDKGdplJ","{}",NA,""
"108",7,"2021-11-18T22:58:54.000Z","RT @Repsol: ¿Sabes cuándo es momento de cambiar los discos de freno? ¡Atento porque te lo contamos! 🏍 Descubre el mejor lubricante para tu…","{}",NA,""
"109",8,"2021-11-18T22:13:51.000Z","RT @xarxa_ctej: Negoci de les #renovables per l'oligopoli

➡️ @Repsol construeix el parc eòlic Delta a Saragossa per 300M €

❗️En ven el 49…","{}",NA,""
"110",9,"2021-11-18T22:02:47.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{'code': 'Governance', 'polarity': 'N'}",NA,"2"
"111",10,"2021-11-18T21:29:43.000Z","@Poncho_1968 @jlgranjabruna @geologicasUCM @Repsol @unicomplutense @Geoplat Antonio, un abrazo, me alegro de que te vayan bien las cosas. A ver si pasas un día por Físicas a saludar","{'code': 'ProductsServices', 'polarity': 'P'}",NA,"4"
"112",11,"2021-11-18T21:24:20.000Z","@Repsol Ya lo tenéis. Un saludo","{}",NA,""
"113",12,"2021-11-18T21:10:28.000Z","RT @JaSantaolalla: ¿Qué es la superconductividad y cómo funciona? Hay muchos retos en la física y la ingeniería de hoy que las nuevas gener…","{'code': 'Innovation', 'polarity': 'NONE'}",NA,"3"
"114",13,"2021-11-18T21:09:21.000Z","RT @fuelcellsworks: Repsol Signs @BCG Consulting to Invest EUR 2.5 Billion in #Hydrogen--@Repsol has struck another coup in the national ra…","{}",NA,""
"115",14,"2021-11-18T20:56:26.000Z","RT @Repsol: ¿Sabes cuándo es momento de cambiar los discos de freno? ¡Atento porque te lo contamos! 🏍 Descubre el mejor lubricante para tu…","{}",NA,""
"116",15,"2021-11-18T20:38:14.000Z","RT @fuelcellsworks: Repsol Signs @BCG Consulting to Invest EUR 2.5 Billion in #Hydrogen--@Repsol has struck another coup in the national ra…","{}",NA,""
"117",16,"2021-11-18T20:33:48.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{'code': 'Governance', 'polarity': 'N'}",NA,"2"
"118",17,"2021-11-18T20:27:58.000Z","RT @fuelcellsworks: Repsol Signs @BCG Consulting to Invest EUR 2.5 Billion in #Hydrogen--@Repsol has struck another coup in the national ra…","{}",NA,""
"119",18,"2021-11-18T20:27:37.000Z","RT @fuelcellsworks: Repsol Signs @BCG Consulting to Invest EUR 2.5 Billion in #Hydrogen--@Repsol has struck another coup in the national ra…","{}",NA,""
"120",19,"2021-11-18T20:26:13.000Z","@fuelcellsworks @BCG @Repsol Trying to repair a tarnished image?","{}",NA,""
"121",20,"2021-11-18T20:23:43.000Z","RT @fuelcellsworks: Repsol Signs @BCG Consulting to Invest EUR 2.5 Billion in #Hydrogen--@Repsol has struck another coup in the national ra…","{}",NA,""
"122",21,"2021-11-18T20:23:12.000Z","RT @fuelcellsworks: Repsol Signs @BCG Consulting to Invest EUR 2.5 Billion in #Hydrogen--@Repsol has struck another coup in the national ra…","{}",NA,""
"123",22,"2021-11-18T20:22:53.000Z","Repsol Signs @BCG Consulting to Invest EUR 2.5 Billion in #Hydrogen--@Repsol has struck another coup in the national race to conquer the #greenhydrogen business--https://t.co/O8oGndzF4H #HydrogenNow #cleanhydrogen #zeroemissions #hydrogeneconomy #decarbonization #fuelcells #H2","{}",NA,""
"124",23,"2021-11-18T20:19:33.000Z","RT @elagoradiario: La #UE invertirá más de 1.100 millones en 7⃣ proyectos innovadores a gran escala. Uno de ellos es la construcción de una…","{'code': 'Innovation', 'polarity': 'P+'}",NA,""
"125",24,"2021-11-18T20:02:54.000Z","RT @UniversidadxC: Sabéis porque no lo hacen? Porque no se puede servir a dos amos a la vez.Algun dia han de elegir. Hasta el momento prefi…","{}",NA,""
"126",25,"2021-11-18T20:02:43.000Z","RT @UniversidadxC: Por que no le pides al profesor Eloy Sanz de la @ESCET_URJC y a @FernandoVallada que denucien publicamente el Convenio q…","{}",NA,""
"127",26,"2021-11-18T19:35:53.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{'code': 'Governance', 'polarity': 'N'}",NA,"2"
"128",27,"2021-11-18T19:13:56.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{'code': 'Governance', 'polarity': 'N'}",NA,"2"
"129",28,"2021-11-18T19:11:29.000Z","RT @Alvisepf: -El ex-director de Información de @SanchezCastejon (Alberto Pozas) imputado por espionaje.

-Los ex-jefes de seguridad de @Re…","{'code': 'Governance', 'polarity': 'N'}",NA,"2"
"130",29,"2021-11-18T18:59:25.000Z","Hola @Repsol . En la estación de servicio de Amillaga Kalea en Bergara, Gipuzkoa, hay problemas. Hoy a la tarde por ejemplo no se podía repostar y la estación estaba cerrada y no es la primera vez. 
No sé que está ocurriendo pero para los clientes esta situación es una p*tada.","{}",NA,""
"131",30,"2021-11-18T18:48:59.000Z","@Repsol Ok, enviada referencia.","{}",NA,""
